Cod_Muestra,rNa_rK,rMg,rCa,rCl,rSO4,rHCO3_rCO3,Salinidad,Fecha,Tipo
CPO-CE-018,6.199636358559375,5.5544126722896525,10.729078297320225,0.6487517170765555,27.023763423398666,4.588877544163849,Salobre,2008-08-29 00:00:00,Pozo
CPO-RT-023,6.020513442512001,6.1715696358773915,11.377813264134936,6.120831417635328,15.552196669706321,3.8841570641672583,Salobre,2009-07-09 00:00:00,Pozo
CPO-RT-039,7.541648902607849,6.7887265994651305,14.47178002894356,8.32094593641669,16.634812769873292,3.6874908837030933,Salobre,2009-10-08 00:00:00,Pozo
CPO-CE-047,6.227770574113504,5.760131660152232,12.849942611906782,6.600343556344087,13.407784009760201,3.9988790027713543,Salobre,2010-01-21 00:00:00,Pozo
CPO-CE-051,5.668705249758285,4.320098745114174,10.479564848545335,4.005336688037865,11.492386294080173,4.0316566995153815,Salobre,2010-01-23 00:00:00,Pozo
CPO-CE-053,6.450373641471805,6.583007611602551,15.09556365088078,7.926053586891831,15.697933452421106,3.785823973935176,Salobre,2010-01-25 00:00:00,Pozo
XTERRAE A-3,26.114271541167394,9.298498251388603,37.077698487948496,21.005452335083085,43.03045065977123,2.5108226267718394,Salobre,2015-10-22 00:00:00,IM60
XTERRAE A-4,41.27901504001802,0.08064184324213125,47.22790558411098,56.06343099397225,34.887928414092336,0.1498104192431302,Salada,2015-10-22 00:00:00,IM60
XTERRAE A-6,4.572447779434366,4.311047109648221,8.568291830929686,3.244886849238563,13.615979413638465,3.956992539796221,Salobre,2015-10-22 00:00:00,P14
XTERRAE A-1,6.740337190019801,5.70170746759926,13.598482958231447,7.929438378459187,18.650768865626524,3.5814677557602703,Salobre,2015-10-22 00:00:00,IM200
XTERRAE A-2,48.82952091526223,1.2968524994857025,61.48011377813264,72.39505030646467,45.637473507134864,1.0007336005808207,Salada,2015-10-22 00:00:00,IM135
VAI 5,6.11083175745736,3.349105122402798,9.835820150706121,2.422946630298962,10.368131113137547,3.1040749888146113,Salobre,2018-08-01 00:00:00,IM256
VAI 3,13.508982240917593,3.192758691627237,20.270472578471978,6.157499992948352,18.44611278361419,2.9782341097823397,Salobre,2018-08-01 00:00:00,IM170
VAI 2,10.545755069717268,9.31495577041761,23.284595039672638,11.073909744532857,21.902156487993373,3.2299158662079974,Salobre,2018-08-01 00:00:00,IM300
VAI 1,7.760398086250003,6.031680724130837,15.260242527072208,5.6658590177899,15.177444942725446,3.9849611338460855,Salobre,2018-08-01 00:00:00,IM200
CCMO-1509 ,6.310779212169111,5.023657683604196,11.306153001646788,6.682142685888522,16.5619443785159,3.847118266846507,Salobre,2022-08-11 00:00:00,IM270 G4
CCMO-1490 ,3.9559498544023906,3.3071384488788316,7.2635860072857925,3.7430153415677787,10.22864019253911,3.509999655834184,Salobre,2022-08-11 00:00:00,P12
CCMO-1491 ,4.621253075519074,3.346636494548447,4.092319976046709,3.660652080095451,8.448777684783831,1.6855930550616138,Dulce mineralizada,2022-08-11 00:00:00,HA01
CCMO-1492 ,7.219261059291781,5.436741411232256,12.218823294575577,7.03190448118197,18.43153910534271,3.3910166166533644,Salobre,2022-08-11 00:00:00,IM200
SOC-FF-03,7.818180231201604,7.20016457519029,22.830480562902338,7.15319284567889,26.45538997081101,1.224246973389427,Salobre,2022-08-15 00:00:00,IM60
SOC-FF-02,7.010691694141338,6.1715696358773915,16.966914516692448,8.335049234614006,18.747996119237673,1.661829224922194,Salobre,2022-08-15 00:00:00,IM270 G12
SOC-FF-01,6.560631233034834,6.583007611602551,14.47178002894356,5.996722393498944,16.972089324156084,2.0371338526413085,Salobre,2022-08-15 00:00:00,IM270 G4
CCMO-1951 ,6.100915881677998,4.82534457930467,10.34497729427616,5.571874638602984,15.98917800290641,4.0255928256177365,Salobre,2022-08-18 00:00:00,IM270 G4
CCMO-1950 ,6.757564481331587,5.145443324418844,11.487199960077847,6.2878426748879495,17.33081000503833,3.6488132015451407,Salobre,2022-08-18 00:00:00,IM200
CCMO-1952 ,3.6755204466590423,3.0388808887060277,6.776386047207944,3.543961390810855,9.040822954792452,3.311694590532818,Salobre,2022-08-18 00:00:00,P12
SOC-CM-01,4.160366769348242,3.7029417815264347,5.139977044762713,3.153976989058661,10.016301700123668,0.6883316316245773,Dulce mineralizada,2022-08-19 00:00:00,Pozo Ag. Copayapu
SOC-CM-02,4.136060337844838,3.7029417815264347,8.732970707121114,3.7965796681211863,9.612131962574795,3.0811034939385844,Dulce mineralizada,2022-08-21 00:00:00,P12
SOC-CM-03,5.898981284994984,3.7029417815264347,12.725185887519336,5.93204466796605,13.094366648761863,3.5236023999829555,Salobre,2022-08-21 00:00:00,Pozo 8
SOC-FF-10,9.575724880903788,10.080230405266406,33.933829033384896,8.460004456642231,42.09513280784814,1.040855760106593,Salobre,2022-09-01 00:00:00,IM60
SOC-FF-11,7.096399268448878,5.760131660152232,15.09556365088078,5.625100485999656,17.07420916975837,3.418222104950907,Salobre,2022-09-01 00:00:00,IM200
SOC-FF-13,6.592367046664551,5.760131660152232,14.347023304556114,5.223156487376138,15.96608913261631,3.724365792540124,Salobre,2022-09-01 00:00:00,IM270 G4
